Beschrijving,Aantal,Start date,Final date,Status,Vendor ,Categorie,Contactpersoon,Type product,Beursregio,Productcategorie
OpenProjects Enterprise Cloud -Pro Support,1,1/9/2025,1/8/2028,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,bedrijfsapplicatie,Sander Schipper,Closed source,VS,ERP
AEC COLLECTIONS RENEWAL,8,5/17/2025,5/16/2028,Batch 3: verlengingen vanaf 2026,Arkance Systems Netherlands,bedrijfsapplicatie,Ronald Coppoolse,Hardware,EU,Security
OpenProjects Enterprise Cloud - Pro SUP,1,7/25/2025,7/25/2028,Batch 3: verlengingen vanaf 2026,Openproject GMBH,bedrijfsapplicatie,Ronald Coppoolse,Open source,ASIA,Data
YOUWIPE Data Erasure Premium LIC,1,2/27/2025,2/26/2029,Batch 3: verlengingen vanaf 2026,Youwipe,software,Benny Houterman,Closed source,ME,Gemeente Specifiek
ZoomText vergroting/spraak upgrade 1 stap sn,1,,,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,software,Marco van Antwerpen,Hardware,AF,Werkplek virtualisatie
Vault Prof. Gov. Single user Ann. Sub Ren.,8,11/7/2024,11/6/2025,Niet verlengd,,,,Open source,EU,Collaboration
Licentie & services localbooker op zeeland.com,1,11/18/2024,11/17/2025,Niet verlengd,,,,Closed source,VS,Datacenter
WithSecure Elements Vulnerability Management,1,8/25/2023,8/24/2025,Niet verlengd,,software,Benny Houterman,Hardware,EU,Back-up
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
